VARIABLES	"Variable		
Name"	Model Generated	Monetary	Default Variable	"Default		
Value"	"Automatic		
Label"																	
	sys_var_name	sys_modgen	sys_mon	sys_defvar	sys_defval	sys_label	BE	IT	EE	HU	PL	SI	SL	CZ	ES	LT	EL	UK	SE	NL	sys_end_desc		
	afc	0	1	n/a	0	assets : financial capital	financial capital	-	-	-	financial capital	-	-	Financial capital (Financni kapital)	financial capital (capital financiero)	financial capital	financial capital	financial capital	-	-			
	afc00	0	1	n/a	0.0000000000001	assets : financial capital : main/basic	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	afc00_s	1	1	n/a	1E-13	assets : financial capital : main/basic : simulated	-	-	-	-	-	-	-	-	-	-	-	-	-	-			
	aldagar	0	0	n/a	0	assets : land : agriculture : area in m2	-	-	-	-	-	-	-	-	-	agricultural land (m2)	-	-	-	-			
	aldagariv	0	0	n/a	0	assets : land : agriculture : area in m2 : imputed value	-	-	-	-	"agricultural land, area in converted hectares"	-	-	-	-	-	-	-	-	-			
	aldar	0	0	n/a	0	assets : land : area in m2	-	-	-	-	Assets:Land:Area In M2::::	-	-	-	-	land size (m2)	-	-	-	-			
	aldiv_s	1	1	n/a	1E-13	assets : land : imputed value : simulated	-	-	-	-	-	-	-	-	-	imputed value of land	-	-	-	-			
	aldmv_s	1	1	n/a	1E-13	assets : land : market value : simulated	-	-	-	-	-	-	-	-	-	market value of land	-	-	-	-			
	aldnaar	0	0	n/a	0	assets : land : non agricultural : area in m2	-	-	-	-	"non agricultural land, area in physical hectares"	-	-	-	-	-	-	-	-	-			
	amolv	0	1	n/a	0	assets : mortgage : loan value	-	-	-	-	-	-	-	-	-	-	(initial) mortgage value	-	-	-			
	amoyl	0	0	n/a	0	assets : mortgage : year of loan	-	-	-	-	-	-	-	-	-	-	year of taking mortgage	-	-	-			
	amrar	0	0	n/a	50	assets : main residence : area in m2	-	-	main residence size in m2	-	size of flat in square meters	size of flat in square meters	-	-	-	residence size in m2	residence size in m2	-	-	-			
	amriv	0	1	n/a	0	assets : main residence : imputed value	-	Main residence-imputed cadastral value	-	-	-	-	-	-	-	-	-	-	-	-			
	amriv_s	1	1	n/a	1E-13	assets : main residence : imputed value : simulated	-	-	-	-	-	-	-	-	-	imputed value of main residence	-	-	-	-			
	amrmv	0	1	n/a	0	assets : main residence : market value	-	-	-	-	-	-	-	-	-	market value of main residence	-	-	-	-			
	amrmv_s	1	1	n/a	1E-13	assets : main residence : market value : simulated	-	-	-	-	-	-	-	-	-	market value of main residence	-	-	-	-			
	amrrm	0	0	n/a	0	assets : main residence : number of rooms	number of rooms	-	number of rooms	number of rooms	number of rooms	-	-	Number of rooms (Pocet mistnosti)	number of rooms (no. dependencias en el hogar)	number of rooms (no. dependencias en el hogar)	number of rooms	number of rooms	-	-			
