ACRONYMS	Type		Level	Acronym	Description	Categorical	Categories																																																																																																																																																																																																																																																								
	sys_typelong	sys_typeshort	sys_levname	sys_acro	sys_desc	sys_categ	sys_first_categ																																																																																																																																																																																																																																																								
	DEMOGRAPHIC	D																																																																																																																																																																																																																																																													
			Main																																																																																																																																																																																																																																																												
				AG	Age	0																																																																																																																																																																																																																																																									
				CT	Country	1	1: AT	2: BE	3: DK	4: FI	5: FR	6: DE	7: EL	8: IE	9: IT	10: LU	11: NL	12: PT	13: ES	14: SE	15: UK	16: EE	17: HU	18: PL	19: SI	20: BG	21: CZ	22: CY	23: LV	24: LT	25: MT	26: RO	27: SK																																																																																																																																																																																																																														
				CZ	Citizenship	1	1: This country	2: other EU	3: Other																																																																																																																																																																																																																																																						
				DI	Disability	1	0: Not disabled	1: Disabled																																																																																																																																																																																																																																																							
				DT	Date Of Interview	0																																																																																																																																																																																																																																																									
				ED	Education (in)	0																																																																																																																																																																																																																																																									
				EC	Education - Current Status	1	0: Not in Education	1: Pre-primary	2: Primary	3: Lower Secondary	4: Upper Secondary	5: Post Secondary	6: Tertiary																																																																																																																																																																																																																																																		
				EH	Education - Highest Status	1	0: Not completed Primary	1: Primary	2: Lower Secondary	3: Upper Secondary	4: Post Secondary	5: Tertiary																																																																																																																																																																																																																																																			
				GN	Gender	1	0: Female	1: Male																																																																																																																																																																																																																																																							
				MS	Marital Status	1	1: Single	2: Married	3: Separated	4: Divorced	5: Widowed																																																																																																																																																																																																																																																				
				RG	Region	0																																																																																																																																																																																																																																																									
				RS	Resident	0																																																																																																																																																																																																																																																									
				WT	Weight	0																																																																																																																																																																																																																																																									
				EY	Education - Number of Years	0																																																																																																																																																																																																																																																									
				EW	Education - When achieved Highest Status	0																																																																																																																																																																																																																																																									
				SU	Sample Units	0																																																																																																																																																																																																																																																									
				QB	Quarter of Birth	0																																																																																																																																																																																																																																																									
				HR	Home responsible	1	0: no																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																															
			Status																																																																																																																																																																																																																																																												
				CS	Current Status	0																																																																																																																																																																																																																																																									
				HS	Highest Status	0																																																																																																																																																																																																																																																									
				ST	Status	0																																																																																																																																																																																																																																																									
				CU	Consensual Union	1	0: no	1: yes																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
			Region																																																																																																																																																																																																																																																												
				N1	NUTS Level 1	0																																																																																																																																																																																																																																																									
				N2	NUTS Level 2	0																																																																																																																																																																																																																																																									
				N3	NUTS Level 3	0																																																																																																																																																																																																																																																									
				RU	Rural	0																																																																																																																																																																																																																																																									
				UR	Urban	0																																																																																																																																																																																																																																																									
				MP	Municipality population	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Time/Date																																																																																																																																																																																																																																																												
				MM	Number of Months	0																																																																																																																																																																																																																																																									
				MY	Months per Year	0																																																																																																																																																																																																																																																									
				PD	Period	0																																																																																																																																																																																																																																																									
				YY	Number of Years	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Other																																																																																																																																																																																																																																																												
				LV	Level (%)	0																																																																																																																																																																																																																																																									
				ND	Non dependent	0																																																																																																																																																																																																																																																									
				HM	Status in HH	0																																																																																																																																																																																																																																																									
				OT	Other	0																																																																																																																																																																																																																																																									
				DP	Dependant	0																																																																																																																																																																																																																																																									
				LG	Large family	0																																																																																																																																																																																																																																																									
				TA	Tax related	1	0: no	1: yes																																																																																																																																																																																																																																																							
				PR	Person	0																																																																																																																																																																																																																																																									
				CH	Child	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Numbers																																																																																																																																																																																																																																																												
				00	Main/Basic	0																																																																																																																																																																																																																																																									
				01	01	0																																																																																																																																																																																																																																																									
				02	02	0																																																																																																																																																																																																																																																									
				03	03	0																																																																																																																																																																																																																																																									
				04	04	0																																																																																																																																																																																																																																																									
				05	05	0																																																																																																																																																																																																																																																									
				06	06	0																																																																																																																																																																																																																																																									
				07	07	0																																																																																																																																																																																																																																																									
				08	08	0																																																																																																																																																																																																																																																									
				09	09	0																																																																																																																																																																																																																																																									
				10	10	0																																																																																																																																																																																																																																																									
				11	11	0																																																																																																																																																																																																																																																									
				12	12	0																																																																																																																																																																																																																																																									
				13	13	0																																																																																																																																																																																																																																																									
				14	14	0																																																																																																																																																																																																																																																									
				15	15	0																																																																																																																																																																																																																																																									
				16	16	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																															
	LABOUR MARKET	L																																																																																																																																																																																																																																																													
			Main																																																																																																																																																																																																																																																												
				ES	Economic Status	1	0 Pre-school	1 Farmer	2 Employer or self-employed	3 Employee	4 Pensioner	5 Unemployed	6 Student	7 Inactive	8 Sick or Disabled	9 Other																																																																																																																																																																																																																																															
				FS	Firm size	0																																																																																																																																																																																																																																																									
				IN	Industry (NACE)	1	1 Agriculture	2 Industry	3 Services	-1 Not  appl																																																																																																																																																																																																																																																					
				OC	Occupation (ISCO 1-Digit)	1	0 Armed forces	1 Senior officials and managers	2 Professionals	3 Technicians and associate professionals	4 Clerks	5 Service and sales workers	6 Skilled agricultural	7 Craft and trades workers	8 Plant and machine operators	9 Elementary  occupations	-1 Not Applicable																																																																																																																																																																																																																																														
				LE	On leave	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Lab Mkt Status																																																																																																																																																																																																																																																												
				FT	Full time Worker	0																																																																																																																																																																																																																																																									
				IW	In work	0																																																																																																																																																																																																																																																									
				OW	Out of work	0																																																																																																																																																																																																																																																									
				PE	Pensioner	0																																																																																																																																																																																																																																																									
				PT	Part time Worker	0																																																																																																																																																																																																																																																									
				SD	Student	0																																																																																																																																																																																																																																																									
				UN	Unemployed	0																																																																																																																																																																																																																																																									
				EM	Employed	0																																																																																																																																																																																																																																																									
				YR	Early retired	0																																																																																																																																																																																																																																																									
				IA	Inactive	0																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																															
			Work Related																																																																																																																																																																																																																																																												
				AP	Apprentice	1	1 yes	0 no																																																																																																																																																																																																																																																							
