Protocol of Changes												
sys_varlog_name	sys_varlog_action	sys_varlog_date	sys_varlog_comment		sys_aclog_name	sys_aclog_type	sys_aclog_action	sys_aclog_date	sys_aclog_comment			
variable name	action	date	manual comment		acro	type	action	date	manual comment			
bin	delete	5/12/2009			IR	in kind	delete	3/27/2009				
pin	delete	5/12/2009			IR	income	delete	3/27/2009				
kfb	add	5/12/2009			IR	tax	delete	3/27/2009				
dsu00	add	5/12/2009			IV	income	changed level	3/27/2009	"to first level to avoid iv included as part of monetary non imputed income (e.g., imputed rent as part of property income)"			
dsu01	add	5/12/2009			IV	expenditure	changed level	3/27/2009				
dsu02	add	5/12/2009			IV	in kind	add	3/27/2009				
lowas	add	5/12/2009			-	variable type	add level	3/27/2009	in kind income			
yivwg	add	5/12/2009			HO	in kind	add	3/27/2009				
kivho	add	5/12/2009			-	housing	add level	3/27/2009				
phl	add	5/12/2009			OO	in kind	add	3/27/2009				
dwt	change	5/12/2009			PB	in kind	add	3/27/2009				
dms	change	5/12/2009			FB	in kind	add	5/12/2009				
dgn	change	5/12/2009			SU	demographic	add	5/12/2009				
dec	change	5/12/2009			AS	labour market	add	5/12/2009				
dag	change	5/12/2009			IN	benefit	delete	5/12/2009				
bsa_s	change	5/12/2009			SI	tax	add	7/24/2009				
bch_s	change	5/12/2009			LF	tax	add	7/24/2009				
les	change	5/12/2009			UF	expenditure	add	7/24/2009				
poa	change	5/12/2009			UF	tax	add	7/24/2009				
tin_s	change	5/12/2009			17	system	add	7/24/2009				
tscee_s	change	5/12/2009			18	system	add	7/24/2009				
tscer_s	change	5/12/2009			19	system	add	7/24/2009				
tscse_s	change	5/12/2009			20	system	add	7/24/2009				
yem	change	5/12/2009			GV	tax	add	7/24/2009				
yse	change	5/12/2009			EV	income	add	8/6/2009				
tsceesi_s	add	7/24/2009			NR	income	add	8/6/2009				
tscersi_s	add	7/24/2009			ED	tax	add	12/14/2009				
tscsesi_s	add	7/24/2009			HE	tax	add	12/14/2009				
tintasp_s	add	7/24/2009			IR	tax	add	12/14/2009				
tintauf_s	add	7/24/2009			EQ	income	add	12/14/2009				
xuf	add	7/24/2009			CU	demographic	add	12/14/2009				
tinrf_s	add	7/24/2009			DP	demographic	add	12/14/2009				
tintast_s	add	7/24/2009			LG	demographic	add	1/18/2010				
tinpx_s	add	7/24/2009			ND	system	add	1/18/2010				
tinty_s	add	7/24/2009			21	system	add	1/18/2010				
bcrch_s	add	7/24/2009			22	system	add	1/18/2010				
sin13_s	add	7/24/2009			23	system	add	1/18/2010				
sin14_s	add	7/24/2009			24	system	add	1/18/2010				
sin15_s	add	7/24/2009			25	system	add	1/18/2010				
sin16_s	add	7/24/2009			26	system	add	1/18/2010				
sin17_s	add	7/24/2009			27	system	add	1/18/2010				
sin18_s	add	7/24/2009			28	system	add	1/18/2010				
sin19_s	add	7/24/2009			29	system	add	1/18/2010				
sin20_s	add	7/24/2009			30	system	add	1/18/2010				
ysepv	add	7/24/2009			31	system	add	1/18/2010				
tsctbse_s	add	7/24/2009			32	system	add	1/18/2010				
tintyjt_s	add	7/24/2009			33	system	add	1/18/2010				
tschlgv_s	add	7/24/2009			34	system	add	1/18/2010				
tintadb_s	add	7/24/2009			35	system	add	1/18/2010				
tintalf_s	add	7/24/2009			36	system	add	1/18/2010				
tintrch_s	add	7/24/2009			37	system	add	1/18/2010				
yemmy	change	7/24/2009	not monetary		38	system	add	1/18/2010				
ysemy	change	7/24/2009	not monetary		39	system	add	1/18/2010				
bunmy	change	7/24/2009	not monetary		40	system	add	1/18/2010				
lpemy	change	7/24/2009	not monetary		41	system	add	1/18/2010				
lunmy	change	7/24/2009	not monetary		42	system	add	1/18/2010				
lap00	add	8/6/2009			43	system	add	1/18/2010				
lse00	add	8/6/2009			44	system	add	1/18/2010				
xhcrt	add	8/6/2009			45	system	add	1/18/2010				
yseev	add	8/6/2009			46	system	add	1/18/2010				
ysenr_s	add	8/6/2009			47	system	add	1/18/2010				
ysenr	add	8/6/2009			48	system	add	1/18/2010				
tintadt_s	add	12/14/2009			49	system	add	1/18/2010				
tintahm_s	add	12/14/2009			50	system	add	1/18/2010				
tintatb_s	add	12/14/2009			GT	tax	add	1/18/2010				
tintatc_s	add	12/14/2009			BA	tax	add	1/18/2010				
tintcri_s	add	12/14/2009			XM	income	add	1/18/2010				
tintcly_s	add	12/14/2009			XY	income	add	1/18/2010				
bsaoa_s	add	12/14/2009			QB	demographic	add	1/25/2010				
yiviy_s	add	12/14/2009			BL	labour market	add	1/25/2010				
yivpr_s	add	12/14/2009			TP	assets	add	1/25/2010				
yiviy01_s	add	12/14/2009			CD	labour market	add	3/2/2010				
yivpr01_s	add	12/14/2009			CT	labour market	add	3/2/2010				
tscerfa_s	add	12/14/2009			FC	labour market	add	3/2/2010				
