,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,SIC: employer social insurance contribution,,,,,
,,func_Elig,3,,on,on,on,on,on,
,,elig_cond,4,,{yem>0} & !{IsCivilServant},{yem>0} & !{IsCivilServant},{yem>0} & !{IsCivilServant},{yem>0} & !{IsCivilServant},{yem>0} & !{IsCivilServant},
,,TAX_UNIT,5,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,6,,on,on,on,on,on,
,,who_must_be_elig,7,,one,one,one,one,one,
,,formula,8,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,9,,0.0886,0.0886,0.0886,0.0886,0.0886,
,,output_var,10,,tscerpi_s,tscerpi_s,tscerpi_s,tscerpi_s,tscerpi_s,
,,TAX_UNIT,11,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,12,,on,on,on,on,on,
,,who_must_be_elig,13,,one,one,one,one,one,
,,formula,14,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,15,,0.038,0.038,0.038,0.038,0.038,
,,output_var,16,,tscerhl_s,tscerhl_s,tscerhl_s,tscerhl_s,tscerhl_s,
,,TAX_UNIT,17,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,18,,on,on,on,on,on,
,,who_must_be_elig,19,,one,one,one,one,one,
,,formula,20,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,21,,0.0235,0.0235,0.0235,0.0235,0.0235,
,,output_var,22,,tscerdi_s,tscerdi_s,tscerdi_s,tscerdi_s,tscerdi_s,
,,TAX_UNIT,23,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,24,,on,on,on,on,on,
,,who_must_be_elig,25,,one,one,one,one,one,
,,formula,26,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,27,,0.0168,0.0168,0.0168,0.0161,0.0161,
,,output_var,28,,tscerui_s,tscerui_s,tscerui_s,tscerui_s,tscerui_s,
,,TAX_UNIT,29,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,30,,on,on,on,on,on,
,,who_must_be_elig,31,,one,one,one,one,one,
,,formula,32,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,33,,0.07,0.07,0.07,0.07,0.07,
,,output_var,34,,tscerfa_s,tscerfa_s,tscerfa_s,tscerfa_s,tscerfa_s,
,,TAX_UNIT,35,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_ArithOp,42a,,on,on,on,on,on,
,,who_must_be_elig,43a,,one,one,one,one,one,
,,formula,44a,,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,yem*amount#1,
,,#1_amount,45a,,0.003,0.003,0.003,0.003,0.003,
