,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,DEF: UPRATING FACTORS,,,,,
,,func_SetDefault,,,on,on,on,on,on,
,,name,,,BE_2006_defaults,BE_2006_defaults,BE_2006_defaults,BE_2006_defaults,BE_2006_defaults,
,,xhcmomi,,,0,0,0,0,0,
,,bfapl,,,0,0,0,0,0,
,,func_Uprate,7,,on,on,on,on,on,
,,name,8,,upr_be_2005,upr_be_2005,upr_be_2005,upr_be_2005,upr_be_2005,
,,def_factor,9,,1,1.018667963,1.031793875,1.091686923,1.07963053,
,,var1_name,10,,yem,yem,yem,yem,yem,
,,var1_condition1,11,,{loc>=7},{loc>=7},{loc>=7},{loc>=7},{loc>=7},
,,var1_factor1,12,,1,1.024959742,1.046698873,1.077294686,1.112721417,
,,var1_condition2,13,,{loc<=6},{loc<=6},{loc<=6},{loc<=6},{loc<=6},
,,var1_factor2,14,,1,1.022575251,1.04180602,1.076086957,1.107859532,
,,yse,15,,1,1.055440838,1.08037558,1.11695952,1.074921105,
,,yiy,16,,1,1.175542484,1.519936817,1.194972982,0.707626686,
,,ypp,17,,1,1.018667963,1.031793875,1.091686923,1.07963053,
,,kivho,18,,1,1.018667963,1.031793875,1.091686923,1.07963053,
,,ypr,19,,1,1.016728625,1.029935433,1.082175699,1.081001761,
,,poa,20,,1,1.019986626,1.040344751,1.082398395,1.104019615,
,,bsa,21,,1,1.02000538,1.050796058,1.137396366,1.183350045,
,,phl,22,,1,1.020014609,1.040321402,1.082395909,1.124089902,
,,pdi,23,,1,1.020017967,1.071813717,1.137410396,1.201408902,
,,psu,24,,1,1.019986626,1.040344751,1.082398395,1.104019615,
,,var2_name,25,,bun,bun,bun,bun,bun,
,,var2_condition1,26,,{lunmy<=6},{lunmy<=6},{lunmy<=6},{lunmy<=6},{lunmy<=6},
,,var2_factor1,27,,1,1.019920925,1.040298054,1.071776156,1.290747782,
,,var2_condition2,28,,{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},
,,var2_factor2,29,,1,1.019920925,1.040298054,1.071776156,1.203041825,
,,ypr,30,,1,1.016728625,1.029935433,1.082175699,1.081001761,
,,xhcrt,31,,1,1.016728625,1.029935433,1.082175699,1.081001761,
,,xhcmomi,32,,1,0.927751818,0.852252468,0.773355648,0.692482453,
,,byr,33,,1,1.019920925,1.040298054,1.071776156,1.124207858,
,,bma,34,,1,1.020014609,1.040321402,1.082395909,1.124089902,
,,bfapl,36a,,1,1.020014609,1.040321402,1.082395909,1.124089902,
,,func_Uprate,36,,off,on,on,on,on,
,,name,37,,n/a,upr_be_2006,upr_be_2006,upr_be_2006,upr_be_2006,
,,def_factor,38,,n/a,1,1.012885368,1.071680825,1.059845376,
,,var1_name,39,,n/a,yem,yem,yem,yem,
,,var1_condition1,40,,n/a,{loc>=7},{loc>=7},{loc>=7},{loc>=7},
,,var1_factor1,41,,n/a,1,1.021209741,1.051060487,1.085624509,
,,var1_condition2,42,,n/a,{loc<=6},{loc<=6},{loc<=6},{loc<=6},
,,var1_factor2,43,,n/a,1,1.018806214,1.052330335,1.083401472,
,,yse,44,,n/a,1,1.023624954,1.058287191,1.018456995,
,,yiy,45,,n/a,1,1.292966301,1.016528963,0.601957561,
,,ypp,46,,n/a,1,1.012885368,1.071680825,1.059845376,
,,kivho,47,,n/a,1,1.012885368,1.071680825,1.059845376,
,,ypr,48,,n/a,1,1.012989512,1.064370249,1.063215626,
,,poa,49,,n/a,1,1.019959207,1.061188811,1.082386364,
,,bsa,50,,n/a,1,1.030186779,1.115088594,1.160140984,
,,phl,51,,n/a,1,1.019908336,1.061157262,1.102033139,
,,pdi,52,,n/a,1,1.050779253,1.11508859,1.177831118,
,,psu,53,,n/a,1,1.019959207,1.061188811,1.082386364,
,,var2_name,54,,n/a,bun,bun,bun,bun,
,,var2_condition1,55,,n/a,{lunmy<=6},{lunmy<=6},{lunmy<=6},{lunmy<=6},
,,var2_factor1,56,,n/a,1,1.019979126,1.050842403,1.265537113,
,,var2_condition2,57,,n/a,{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},{lunmy>=7} & {lunmy<=12},
,,var2_factor2,58,,n/a,1,1.019979126,1.050842403,1.179544214,
,,xhcrt,59,,n/a,1,1.012989512,1.064370249,1.063215626,
,,xhcmomi,60,,n/a,1,0.918621178,0.83358031,0.746409157,
,,byr,61,,n/a,1,1.019979126,1.050842403,1.102250019,
,,bma,62,,n/a,1,1.019908336,1.061157262,1.102033139,
,,bfapl,63,,n/a,1,1.019908336,1.061157262,1.102033139,
,,func_Uprate,64,,off,off,on,on,on,
,,name,65,,n/a,n/a,upr_be_2007,upr_be_2007,upr_be_2007,
,,def_factor,67,,n/a,n/a,1,1.058047493,1.046362608,
,,var1_name,67a,,n/a,n/a,yem,yem,yem,
