idhh	idperson	idfather	idmother	idpartner	idorighh	idorigperson	dag	dgn	dms	dcz	ddi	ddt	dwt	dsu00	dsu01	dsu02	dct	dec	deh	dey	dew	drgn1	dcu	les	lcs	lfs	lin	lindi	liwmy	lhw	liwwh	loc	lpemy	lse	lunmy	lowas	yivwg	yem	kfb	ypp	yse	bed	bun	phl	pdi	poa	psu	kivho	yiy	yprrt	ypr	ypt	bsa	bho	tpr	yot	yds	tad	bch00	bchba	bch	bma	bfapl	khooo	yemmy	kfbmy	ysemy	bunmy	pdimy	phlmy	poamy	psumy	tis	byr	byrmy	amrrm	amrtn	afc	xmp	xpp	xhc	xhcrt	xhcmomi	xhcmomc	amoyl	amolv	xhcot
1	101	0	0	0	1	101	47	1	4	1	0	22008	2143.068	0	0	0	2	0	3	12	1979	2	0	3	0	50	3	7	12	39	324	7	0	0	0	0	22.49142	3801.05	0	0	0	0	0	0	0	0	0	385.302	3.754335	0	0	83.33334	0	0	0	0	2437.481	0	0	0	0	0	0	83.33334	12	0	0	0	0	0	0	0	1367.323	0	0	4	1	1287.201	83.33334	0	398.1026	0	160.4167	507.9167	1994	76846	237.6859
2	201	0	0	0	2	201	61	0	5	1	0	22008	923.9436	0	0	0	2	0	5	16	1969	2	0	4	1	5	3	4	5	34	456	4	7	0	0	0	16.70566	1025.542	25	0	0	0	0	0	0	495.2594	1252.465	419.2496	0	0	0	0	0	0	0	0	2121.878	0	0	0	0	0	0	88.58334	5	5	0	0	0	0	7	12	651.3882	0	0	6	2	0	0	0	217.9167	0	0	0	0	0	217.9167
4	401	0	0	402	4	401	68	1	2	1	0	22008	1283.24	0	0	0	2	0	3	12	1956	2	0	4	0	0	0	0	0	0	0	-1	12	0	0	0	13.55037	0	0	0	0	0	0	0	0	2147.278	0	217.7334	8.483375	0	0	0	0	0	0	0	3547.202	0	0	0	0	0	0	40.20833	0	0	0	0	0	0	12	0	1070.993	0	0	6	2	2908.586	0	0	114.4183	0	0	0	0	0	114.4183
4	402	0	0	401	4	402	62	0	2	1	0	22008	1283.24	0	0	0	2	0	1	6	1959	2	0	9	0	0	0	0	0	0	0	-1	0	0	0	0	9.568335	0	0	0	0	0	0	0	0	0	0	217.7334	8.483375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.20833	0	0	0	0	0	0	0	0	1070.993	0	0	6	2	2908.586	0	0	114.4183	0	0	0	0	0	114.4183
4	403	401	402	0	4	403	32	1	1	1	0	22008	1283.24	0	0	0	2	0	4	14	1994	2	0	3	0	35	3	3	12	38	156	3	0	0	0	0	14.90253	2453.95	97.58334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	1070.993	0	0	6	2	0	0	0	0	0	0	0	0	0	0
5	501	0	0	0	5	501	80	0	5	1	0	22008	1161.516	0	0	0	2	0	3	12	1944	2	0	4	0	0	0	0	0	0	468	-1	12	0	0	0	11.4062	0	0	0	0	0	0	0	0	815	0	378.8914	6.933838	0	0	0	0	0	0	0	821.9338	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	5	6	2377.316	0	0	0	0	0	0	0	0	0
6	601	0	0	0	6	601	41	1	1	1	0	32008	1251.771	0	0	0	2	0	5	16	1987	2	0	2	0	4	3	3	12	40	228	1	0	1	0	0	24.72626	0	0	0	2654.224	0	0	0	0	0	0	0	166.6667	0	0	0	0	0	0	0	2023.264	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	797.6262	0	0	6	3	57142.86	0	0	1070	750	0	0	0	0	320
7	701	0	0	0	7	701	60	1	4	1	0	22008	984.4622	0	0	0	2	0	1	6	1963	2	0	5	0	0	0	0	0	0	432	4	0	0	12	0	16.23662	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	698.1642	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	-14.83083	0	0	6	3	0	516.6667	0	1345	850	0	0	0	0	495
8	801	0	0	802	8	801	66	1	2	1	0	22008	1471.446	0	0	0	2	0	1	6	1955	2	0	4	0	0	0	0	0	0	432	-1	12	0	0	0	14.88836	0	0	0	0	0	0	0	0	1300	0	217.3023	0	0	0	0	0	0	0	0	1406.25	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	263.75	0	0	6	4	0	0	0	192.5	162.5	0	0	0	0	30
8	802	0	0	801	8	802	70	0	2	1	0	22008	1471.446	0	0	0	2	0	1	6	1951	2	0	4	0	0	0	0	0	0	492	-1	12	0	0	0	13.5453	0	0	0	0	0	0	240	0	130	0	217.3023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	263.75	0	0	6	4	0	0	0	192.5	162.5	0	0	0	0	30
