	BELGIUM	sys_par_name	sys_reserved	sys_first_sys	BE_2005	BE_2006	BE_2007	BE_2008	BE_2009	BE_2010	sys_end_sys
		sys_first_par			BEN: unemployment insurance						
		func_DefConst	3a		on	on	on	on	on	on	
		const1_name	4a		$UI_PostStudyDepFam	$UI_PostStudyDepFam	$UI_PostStudyDepFam	$UI_PostStudyDepFam	$UI_PostStudyDepFam	$UI_PostStudyDepFam	
		const1_amount	5a		32.88#s	33.54#s	34.21#s	35.58#s	37.02#s	38.52#s	
		const2_name	6a		$UI_PostStudySingleY18	$UI_PostStudySingleY18	$UI_PostStudySingleY18	$UI_PostStudySingleY18	$UI_PostStudySingleY18	$UI_PostStudySingleY18	
		const2_amount	7a		9.15#s	9.34#s	9.52#s	10.11#s	10.52#s	10.94#s	
		const3_name	8a		$UI_PostStudySingleY21	$UI_PostStudySingleY21	$UI_PostStudySingleY21	$UI_PostStudySingleY21	$UI_PostStudySingleY21	$UI_PostStudySingleY21	
		const3_amount	9a		14.38#s	14.67#s	14.97#s	15.89#s	16.53#s	17.20#s	
		const4_name	10a		$UI_PostStudySingle21	$UI_PostStudySingle21	$UI_PostStudySingle21	$UI_PostStudySingle21	$UI_PostStudySingle21	$UI_PostStudySingle21	
		const4_amount	11a		23.36#s	24.07#s	24.79#s	26.32#s	27.38#s	28.49#s	
		const5_name	12a		$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	$UI_PostStudyNoPrivCohabY18	
		const5_amount	13a		8.00#s	8.16#s	8.33#s	8.67#s	9.02#s	9.39#s	
		const6_name	14a		$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	$UI_PostStudyNoPrivCohab18	
		const6_amount	15a		12.77#s	13.03#s	13.55#s	13.83#s	14.38#s	14.97#s	
