	BELGIUM	sys_par_name	sys_reserved	sys_first_sys	BE_2005	BE_2006	BE_2007	BE_2008	BE_2009	BE_2010	sys_end_sys		
		sys_first_par			DEF: UPRATING FACTORS						
		func_SetDefault			on	on	on	on	on	on	
		name			BE_2006_defaults	BE_2006_defaults	BE_2006_defaults	BE_2006_defaults	BE_2006_defaults	BE_2006_defaults	
		khooo 			0	0	0	0	0	0	
		xhcmomc			0	0	0	0	0	0	
		xhcmomi			0	0	0	0	0	0	
		amoyl 			0	0	0	0	0	0	
		amolv			0	0	0	0	0	0	
		bfapl			0	0	0	0	0	0	
		func_SetDefault			on	on	on	on	on	on	
		name			BE_2007_defaults	BE_2007_defaults	BE_2007_defaults	BE_2007_defaults	BE_2007_defaults	BE_2007_defaults	
		khooo 			0	0	0	0	0	0	
		xhcmomc			0	0	0	0	0	0	
		xhcmomi			0	0	0	0	0	0	
		amoyl 			0	0	0	0	0	0	
		amolv			0	0	0	0	0	0	
		func_Uprate			on	on	on	on	on	on	
		name			upr_be_2005	upr_be_2005	upr_be_2005	upr_be_2005	upr_be_2005	upr_be_2005	
		def_factor			1	1.018667963	1.031793875	1.091686923	1.07963053	1.10617404	
		var1_name			yem	yem	yem	yem	yem	yem	
		var1_condition1			{loc>=7}	{loc>=7}	{loc>=7}	{loc>=7}	{loc>=7}	{loc>=7}	
		var1_factor1			1	1.024959742	1.046698873	1.077294686	1.112721417	1.116747182	
		var1_condition2			{loc<=6}	{loc<=6}	{loc<=6}	{loc<=6}	{loc<=6}	{loc<=6}	
		var1_factor2			1	1.022575251	1.04180602	1.076086957	1.107859532	1.112040134	
		yse			1	1.055440838	1.08037558	1.11695952	1.074921105	1.189049821	
		yiy			1	1.175542484	1.519936817	1.194972982	0.707626686	0.854637706	
		ypp			1	1.018667963	1.031793875	1.091686923	1.07963053	1.10617404	
		kivho			1	1.018667963	1.031793875	1.091686923	1.07963053	1.10617404	
		ypr			1	1.016728625	1.029935433	1.082175699	1.081001761	1.102915281	
		poa			1	1.019986626	1.040344751	1.082398395	1.104019615	1.104019615	
		bsa			1	1.02000538	1.050796058	1.137396366	1.183350045	1.207038242	
